Unnamed: 0,hash,model_identifier,framework,framework_version,elapsed_time,train_accuracy,train_loss,val_accuracy,val_loss,accelerator,accelerator_version,accelerator_type,cpu_model,train_dataset_name,epochs,batch_size,configs,train_split,val_split,test_split,train_slice,val_slice,test_slice,test_accuracy
4444,4561638995596215430,Aftabhussain/Tomato_Leaf_Classifier,HuggingFace,4.19.2,260.6481247311458,0.8149999976158142,1.7380721752460186,0.8149999976158142,1.7380721752460186,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7872721552848816
4445,-3486933803945981148,nateraw/vit-base-beans-demo,HuggingFace,4.19.2,261.1275063510984,0.7299999594688416,1.7622656272007868,0.7299999594688416,1.7622656272007868,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7579752802848816
4446,5568496335196373841,facebook/data2vec-vision-large,HuggingFace,4.19.2,994.2607298316434,0.0249999985098838,4.33206241607666,0.0249999985098838,4.33206241607666,,11.2,GPU,,caltech101,25,8,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.0386005230247974
4447,4657988369653763541,nateraw/ex-for-evan,HuggingFace,4.19.2,259.17356802523136,0.7049999833106995,1.5855195705707257,0.7049999833106995,1.5855195705707257,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7101237177848816
4448,-5576162027896605982,black/simple_kitchen,HuggingFace,4.19.2,259.6260377895087,0.7949999570846558,1.6884076595306396,0.7949999570846558,1.6884076595306396,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7766927480697632
4449,-132377594278641902,mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,HuggingFace,4.19.2,261.42366617452353,0.7049999833106995,1.6652645331162672,0.7049999833106995,1.6652645331162672,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7550455927848816
4450,5228240287899662700,nickmuchi/vit-base-beans,HuggingFace,4.19.2,262.7401017928496,0.75,1.7983181384893565,0.75,1.7983181384893565,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7610677480697632
4451,3056292741003124388,dimbyTa/rock-challenge-DeiT-solo-2,HuggingFace,4.19.2,106.7057859711349,0.0350000001490116,4.213453035354615,0.0350000001490116,4.213453035354615,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.028304973617196
4452,-4528693383771360451,smaranjitghose/cricket-baseball-smrn,HuggingFace,4.19.2,265.0547316139564,0.85999995470047,0.138505330979824,0.85999995470047,0.138505330979824,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8805628418922424
4453,-3457254628483117436,facebook/deit-base-patch16-384,HuggingFace,4.19.2,982.8635639119892,0.9249999523162842,0.0017626328300684,0.9249999523162842,0.0017626328300684,,11.2,GPU,,caltech101,25,16,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8876312375068665
4454,3775892083707729712,nateraw/huggingpics-package-demo,HuggingFace,4.19.2,273.67965075187385,0.7899999618530273,1.730840985591595,0.7899999618530273,1.730840985591595,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7926432490348816
4455,-8119233426148857807,hgarg/fruits,HuggingFace,4.19.2,283.5160066951066,0.8499999642372131,0.140217196047306,0.8499999642372131,0.140217196047306,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8797447681427002
4456,-6731590810633199283,akahana/vit-base-cats-vs-dogs,HuggingFace,4.19.2,266.13548828777857,0.5299999713897705,2.580246650255644,0.5299999713897705,2.580246650255644,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.55810546875
