model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task
nateraw/vit-base-patch16-224-cifar10,224.0,768.0,['ViTForImageClassification'],,cifar10,10.0,cifar10,,,
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nickmuchi/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,,
nickmuchi/vit-base-xray-pneumonia,224.0,768.0,['ViTForImageClassification'],,chest-xray-pneumonia,2.0,chest-xray-pneumonia,,single_label_classification,
nickmuchi/vit-finetuned-cats-dogs,224.0,768.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,cats_vs_dogs,,,
nickmuchi/vit-finetuned-chest-xray-pneumonia,224.0,768.0,['ViTForImageClassification'],,chest-xray-pneumonia,2.0,chest-xray-pneumonia,,single_label_classification,
nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nielsr/convnext-tiny-finetuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nielsr/convnext-tiny-finetuned-eurostat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nielsr/convnext-xlarge-224-22k,224.0,2048.0,['ConvNextForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
nielsr/convnext-xlarge-224-22k-1k,224.0,2048.0,['ConvNextForImageClassification'],,imagenet,1000.0,imagenet,,,
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nielsr/van-base-finetuned-eurosat-imgaug,224.0,512.0,['VanForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,224.0,768.0,['ViTForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
nielsr/vit-finetuned-eurosat-kornia,224.0,768.0,['ViTForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
