model
nvidia/mit-b0
nvidia/mit-b1
nvidia/mit-b2
nvidia/mit-b3
nvidia/mit-b4
nvidia/mit-b5
nateraw/huggingpics-package-demo
nielsr/beit-base-patch16-224
nielsr/beit-large-patch16-224-pt22k-ft22k
nielsr/vit-base-patch16-224
deepmind/vision-perceiver-conv
LilDataScientist/rare-puppers
LilDataScientist/rare-puppers-2
deepmind/vision-perceiver-conv
dog/rare-puppers
facebook/data2vec-vision-base
facebook/data2vec-vision-base-ft1k
facebook/data2vec-vision-large
facebook/data2vec-vision-large-ft1k
nates-test-org/convit_base
nates-test-org/convit_small
nates-test-org/convit_tiny
